11:45:01.619 -> active,248,rewards,22,1405
11:45:02.496 -> pre-trials,91;
11:45:07.737 -> active,249,premature,53,1412
11:45:09.071 -> active,250,rewards,22,1413
11:45:09.209 -> active,251,rewards,22,1413
11:45:09.852 -> active,252,rewards,22,1414
11:45:12.236 -> active,253,rewards,22,1416
11:45:12.420 -> active,254,rewards,22,1416
11:45:12.695 -> active,255,rewards,22,1416
11:45:12.741 -> active,256,rewards,22,1417
11:45:15.821 -> inactive,139,1420
11:45:16.004 -> inactive,140,1420
11:45:16.050 -> inactive,141,1420
11:45:16.233 -> inactive,142,1420
11:45:16.233 -> inactive,143,1420
11:45:16.462 -> inactive,144,1420
11:45:16.648 -> inactive,145,1420
11:45:16.876 -> inactive,146,1421
11:45:17.753 -> pre-trials,92;
11:45:20.599 -> active,257,premature,54,1424
11:45:23.128 -> inactive,147,1427
11:45:23.404 -> inactive,148,1427
11:45:25.150 -> active,258,rewards,22,1429
11:45:25.700 -> active,259,rewards,22,1429
11:45:30.614 -> pre-trials,93;
11:45:33.605 -> GO trials,39;
11:45:33.972 -> active,260,rewards,23,1438
11:45:44.080 -> pre-trials,94;
11:45:50.419 -> active,261,premature,55,1454
11:45:50.465 -> active,262,rewards,23,1454
11:45:53.638 -> inactive,149,1457
11:45:54.879 -> inactive,150,1459
11:45:57.361 -> active,263,rewards,23,1461
11:45:59.104 -> inactive,151,1463
11:46:00.438 -> pre-trials,95;
11:46:03.470 -> GO trials,40;
11:46:06.359 -> inactive,152,1470
11:46:06.451 -> inactive,153,1470
11:46:08.153 -> active,264,rewards,24,1472
11:46:18.293 -> pre-trials,96;
11:46:27.296 -> GO trials,41;
11:46:27.570 -> active,265,rewards,25,1491
11:46:37.694 -> pre-trials,97;
11:46:46.371 -> active,266,premature,56,1510
11:46:51.286 -> active,267,rewards,25,1515
11:46:53.862 -> active,268,rewards,25,1517
11:46:54.828 -> active,269,rewards,25,1518
11:46:56.390 -> pre-trials,98;
11:46:56.481 -> active,270,premature,57,1520
11:47:06.508 -> pre-trials,99;
11:47:12.525 -> GO trials,42;
11:47:14.781 -> inactive,154,1538
11:47:17.443 -> active,271,rewards,26,1541
11:47:27.550 -> pre-trials,100;
11:47:30.983 -> active,272,premature,58,1555
11:47:31.625 -> active,273,rewards,26,1555
11:47:34.659 -> active,274,rewards,26,1558
11:47:37.003 -> active,275,rewards,26,1561
11:47:40.863 -> active,276,rewards,26,1564
11:47:41.049 -> pre-trials,101;
11:47:41.508 -> active,277,premature,59,1565
11:47:46.977 -> active,278,rewards,26,1570
11:47:47.069 -> active,279,rewards,26,1571
11:47:49.730 -> inactive,155,1573
11:47:51.521 -> pre-trials,102;
11:47:52.354 -> active,280,premature,60,1576
11:47:55.851 -> active,281,rewards,26,1579
11:47:57.458 -> inactive,156,1581
11:47:58.007 -> inactive,157,1582
11:47:58.100 -> inactive,158,1582
11:47:58.191 -> inactive,159,1582
11:47:59.753 -> active,282,rewards,26,1583
11:48:01.544 -> inactive,160,1585
11:48:01.636 -> inactive,161,1585
11:48:02.372 -> inactive,162,1586
11:48:02.418 -> pre-trials,103;
11:48:04.716 -> active,283,premature,61,1588
11:48:04.762 -> active,284,rewards,26,1588
11:48:04.809 -> active,285,rewards,26,1588
11:48:06.785 -> inactive,163,1590
11:48:06.923 -> inactive,164,1590
11:48:08.813 -> active,286,rewards,26,1592
11:48:10.834 -> inactive,165,1594
11:48:12.623 -> active,287,rewards,26,1596
11:48:14.739 -> pre-trials,104;
11:48:14.785 -> inactive,166,1598
11:48:23.767 -> GO trials,43;
11:48:28.770 -> omissions,17;
11:48:38.846 -> pre-trials,105;
11:48:47.860 -> GO trials,44;
11:48:52.872 -> omissions,18;
11:49:02.906 -> pre-trials,106;
11:49:08.897 -> GO trials,45;
11:49:11.754 -> active,288,rewards,27,1655
11:49:21.866 -> pre-trials,107;
11:49:24.856 -> GO trials,46;
11:49:29.872 -> omissions,19;
11:49:39.935 -> pre-trials,108;
11:49:41.636 -> active,289,premature,62,1685
11:49:42.048 -> active,290,rewards,27,1685
11:49:51.506 -> active,291,rewards,27,1695
11:49:51.691 -> pre-trials,109;
11:49:54.683 -> GO trials,47;
11:49:59.711 -> omissions,20;
11:50:09.762 -> pre-trials,110;
11:50:12.756 -> GO trials,48;
11:50:17.783 -> omissions,21;
11:50:21.005 -> active,292,rewards,27,1724
11:50:23.724 -> inactive,167,1727
11:50:24.092 -> inactive,168,1727
11:50:27.819 -> pre-trials,111;
11:50:28.878 -> active,293,premature,63,1732
11:50:29.157 -> active,294,rewards,27,1732
11:50:31.777 -> inactive,169,1735
11:50:32.008 -> inactive,170,1735
11:50:34.218 -> active,295,rewards,27,1737
11:50:34.355 -> active,296,rewards,27,1738
11:50:34.494 -> active,297,rewards,27,1738
11:50:34.633 -> active,298,rewards,27,1738
11:50:36.937 -> inactive,171,1740
11:50:38.917 -> pre-trials,112;
11:50:39.791 -> active,299,premature,64,1743
11:50:40.019 -> active,300,rewards,27,1743
11:50:49.832 -> pre-trials,113;
11:50:50.894 -> active,301,premature,65,1754
11:51:00.932 -> pre-trials,114;
11:51:03.923 -> inactive,172,1767
11:51:03.968 -> GO trials,49;
11:51:07.000 -> active,302,rewards,28,1770
11:51:17.115 -> pre-trials,115;
11:51:26.136 -> GO trials,50;
11:51:30.501 -> active,303,rewards,29,1794
11:51:40.614 -> ------------------------------------
11:51:40.614 -> session end
11:51:40.660 -> ------------------------------------
11:51:40.705 -> GO trials,50
11:51:40.705 -> rewards,29
11:51:40.705 -> active,303
11:51:40.751 -> inactive,172
11:51:40.751 -> pre-trials,115
11:51:40.751 -> premature,65
11:51:40.797 -> omissions,21
