107,0
2612,130731,0
2613,130781,0
2614,130831,0
2615,130881,0
2616,130931,0
2617,130982,0
2618,131031,0
2619,131081,0
2620,131132,0
2621,131181,0
2622,131231,0
2623,131281,0
2624,131332,0
2625,131381,0
2626,131431,0
2627,131481,0
2628,131532,0
2629,131585,0
2630,131631,0
2631,131681,0
2632,131731,0
2633,131781,0
2634,131831,0
2635,131881,0
2636,131932,0
2637,131982,0
2638,132031,0
2639,132082,0
2640,132131,0
2641,132182,0
2642,132231,0
2643,132282,0
2644,132332,0
2645,132382,0
2646,132432,0
2647,132482,0
2648,132531,0
2649,132581,0
2650,132632,0
2651,132683,0
2652,132732,0
2653,132782,0
2654,132832,0
2655,132882,0
2656,132932,0
2657,132983,0
2658,133032,0
2659,133082,0
2660,133132,0
2661,133182,0
2662,133231,0
2663,133282,0
2664,133332,0
2665,133382,0
2666,133432,0
2667,133482,0
2668,133533,0
2669,133583,0
2670,133632,0
2671,133682,0
2672,133732,0
2673,133783,0
2674,133833,0
2675,133884,0
2676,133934,0
2677,133982,0
2678,134033,0
2679,134082,0
2680,134133,0
2681,134183,0
2682,134233,0
2683,134283,0
2684,134333,0
2685,134382,0
2686,134433,0
2687,134483,0
2688,134533,0
2689,134583,0
2690,134633,0
2691,134684,0
2692,134733,0
2693,134783,0
2694,134833,0
2695,134883,0
2696,134933,0
2697,134984,0
2698,135033,0
2699,135083,0
2700,135133,0
2701,135183,0
2702,135233,0
2703,135283,0
2704,135334,0
2705,135384,0
2706,135434,0
2707,135484,0
2708,135533,0
2709,135584,0
2710,135633,0
2711,135684,0
2712,135734,0
2713,135784,0
2714,135833,0
2715,135884,0
2716,135934,0
2717,135984,0
2718,136034,0
2719,136084,0
2720,136135,0
2721,136184,0
2722,136234,0
2723,136283,0
2724,136334,0
2725,136384,0
2726,136434,0
2727,136484,0
2728,136535,0
2729,136584,0
2730,136634,0
2731,136684,0
2732,136734,0
2733,136785,0
2734,136835,0
2735,136886,0
2736,136935,0
2737,136985,0
2738,137035,0
2739,137084,0
2740,137135,0
2741,137185,0
2742,137235,0
2743,137286,0
2744,137335,0
2745,137385,0
2746,137434,0
2747,137485,0
2748,137535,0
2749,137585,0
2750,137635,0
2751,137685,0
2752,137734,0
2753,137785,0
2754,137835,0
2755,137885,0
2756,137935,0
2757,137985,0
2758,138036,0
2759,138084,0
2760,138136,0
2761,138186,0
2762,138235,0
2763,138286,0
2764,138336,0
2765,138390,0
2766,138440,0
2767,138486,0
2768,138536,0
2769,138585,0
2770,138635,0
2771,138686,0
2772,138737,0
2773,138787,0
2774,138835,0
2775,138885,0
2776,138936,0
2777,138986,0
2778,139036,0
2779,139086,0
2780,139136,0
2781,139186,0
2782,139236,0
2783,139286,0
2784,139336,0
2785,139387,0
2786,139437,0
2787,139489,0
2788,139538,0
2789,139586,0
2790,139636,0
2791,139687,0
2792,139737,0
2793,139787,0
2794,139837,0
2795,139887,0
2796,139937,0
2797,139986,0
2798,140036,0
2799,140086,0
2800,140136,0
2801,140187,0
2802,140237,0
2803,140287,0
2804,140336,0
2805,140387,0
2806,140436,0
2807,140487,0
2808,140537,0
2809,140587,0
2810,140637,0
2811,140688,0
2812,140736,0
2813,140787,0
2814,140837,0
2815,140888,0
2816,140938,0
2817,140988,0
2818,141038,0
2819,141088,0
2820,141138,0
2821,141187,0
2822,141237,0
2823,141288,0
2824,141338,0
2825,141388,0
2826,141438,0
2827,141487,0
2828,141537,0
2829,141587,0
2830,141637,0
2831,141688,0
2832,141738,0
2833,141788,0
2834,141838,0
2835,141888,0
2836,141938,0
2837,141988,0
2838,142038,0
2839,142088,0
2840,142138,0
2841,142187,0
2842,142238,0
2843,142289,0
2844,142338,0
2845,142389,0
2846,142438,0
2847,142488,0
2848,142539,0
2849,142588,0
2850,142639,0
2851,142688,0
2852,142738,0
2853,142788,0
2854,142839,0
2855,142889,0
2856,142939,0
2857,142989,0
2858,143039,0
2859,143089,0
2860,143139,0
2861,143189,0
2862,143239,0
2863,143289,0
2864,143338,0
2865,143389,0
2866,143439,0
2867,143489,0
2868,143539,0
2869,143589,0
2870,143640,0
2871,143688,0
2872,143739,0
2873,143789,0
2874,143839,0
2875,143889,0
2876,143940,0
2877,143990,0
2878,144040,0
2879,144089,0
2880,144140,0
2881,144189,0
2882,144239,0
2883,144290,0
2884,144339,0
2885,144390,0
2886,144439,0
2887,144489,0
2888,144540,0
2889,144589,0
2890,144640,0
2891,144690,0
2892,144740,0
2893,144790,0
2894,144840,0
2895,144889,0
2896,144940,0
2897,144991,0
2898,145040,0
2899,145090,0
2900,145141,0
2901,145190,0
2902,145240,0
2903,145290,0
2904,145341,0
2905,145390,0
2906,145440,0
2907,145490,0
2908,145542,0
2909,145590,0
2910,145640,0
2911,145690,0
2912,145740,0
2913,145791,0
2914,145841,0
2915,145891,0
2916,145941,0
2917,145991,0
2918,146041,0
2919,146090,0
2920,146141,0
